V1,V2,V3,V4,V5,V6,V7,v60h,v60t,v60y,v60o,v24h,v24t,v24y,v24o
2016.04.01,00:00,161.602,161.685,161.599,161.656,246,161.602,161.685,161.599,161.656,161.602,161.685,161.599,161.656
2016.04.01,00:15,161.656,161.683,161.614,161.682,309,161.602,161.685,161.599,161.682,161.602,161.685,161.599,161.682
2016.04.01,00:30,161.678,161.678,161.536,161.599,515,161.602,161.685,161.536,161.599,161.602,161.685,161.536,161.599
2016.04.01,00:45,161.599,161.652,161.585,161.638,520,161.602,161.685,161.536,161.638,161.602,161.685,161.536,161.638
2016.04.01,01:00,161.638,161.687,161.618,161.64,1364,161.638,161.687,0,161.64,161.602,161.687,161.536,161.64
2016.04.01,01:15,161.64,161.668,161.621,161.662,502,161.638,161.687,0,161.662,161.602,161.687,161.536,161.662
2016.04.01,01:30,161.662,161.683,161.639,161.677,553,161.638,161.687,0,161.677,161.602,161.687,161.536,161.677
2016.04.01,01:45,161.677,161.693,161.662,161.675,414,161.638,161.693,0,161.675,161.602,161.693,161.536,161.675
2016.04.01,02:00,161.676,161.711,161.649,161.681,578,161.676,161.711,0,161.681,161.602,161.711,161.536,161.681
2016.04.01,02:15,161.681,161.698,161.583,161.611,565,161.676,161.711,0,161.611,161.602,161.711,161.536,161.611
2016.04.01,02:30,161.612,161.646,161.597,161.632,510,161.676,161.711,0,161.632,161.602,161.711,161.536,161.632
2016.04.01,02:45,161.632,161.654,161.557,161.614,649,161.676,161.711,0,161.614,161.602,161.711,161.536,161.614
2016.04.01,03:00,161.617,161.635,161.377,161.411,1704,161.617,161.635,0,161.411,161.602,161.711,161.377,161.411
2016.04.01,03:15,161.409,161.463,161.348,161.443,1404,161.617,161.635,0,161.443,161.602,161.711,161.348,161.443
2016.04.01,03:30,161.443,161.523,161.427,161.514,1392,161.617,161.635,0,161.514,161.602,161.711,161.348,161.514
2016.04.01,03:45,161.511,161.518,161.164,161.305,1929,161.617,161.635,0,161.305,161.602,161.711,161.164,161.305
2016.04.01,04:00,161.308,161.396,161.265,161.305,1443,161.308,161.396,0,161.305,161.602,161.711,161.164,161.305
2016.04.01,04:15,161.304,161.354,161.066,161.066,1507,161.308,161.396,0,161.066,161.602,161.711,161.066,161.066
2016.04.01,04:30,161.069,161.172,161.064,161.101,1284,161.308,161.396,0,161.101,161.602,161.711,161.064,161.101
2016.04.01,04:45,161.125,161.171,160.843,160.913,1987,161.308,161.396,0,160.913,161.602,161.711,160.843,160.913
2016.04.01,05:00,160.911,160.929,160.626,160.74,1609,160.911,160.929,0,160.74,161.602,161.711,160.626,160.74
2016.04.01,05:15,160.741,160.819,160.683,160.817,1581,160.911,160.929,0,160.817,161.602,161.711,160.626,160.817
2016.04.01,05:30,160.818,160.855,160.759,160.812,1228,160.911,160.929,0,160.812,161.602,161.711,160.626,160.812
